owner_name,view,share,reply,like,coin,favorite,danmaku,videos,duration
谷阿莫,256072354,307431,633366,866811,909703,528739,1122777,506,175641
木鱼水心,178005459,713269,684761,1713881,3192877,1528272,1424527,393,398019
阿斗归来了,118157617,111150,187825,527499,664618,361036,426892,212,89103
刘老师说电影,104709578,279882,320971,1614248,1172486,373639,608057,212,73300
刘哔电影,96930314,301554,285656,953125,1134870,357883,659002,264,126196
牛叔万岁万岁万万岁,77953120,89758,163561,495055,577492,258617,368893,279,147836
蔡老板家的长工,76057494,56218,212846,1027431,1035964,259806,432786,389,258133
电影最TOP,76045726,255226,214396,644706,1187424,611031,928430,144,221425
老炮电影,65949897,44286,153713,627990,140704,356269,120518,807,220666
奥雷卡尔克斯,65773008,38358,252664,441546,617234,133900,310592,488,203084
